x_linear_H0,y_linear_H0,x_linear_H1,y_linear_H1,x_circular_H0,y_circular_H0,x_circular_H1,y_circular_H1,x_elliptical_H0,y_elliptical_H0,x_elliptical_H1,y_elliptical_H1
-0.00029339241,0,-0.00019625664,-0.00017513969,-0.00020745977,-0.00019734552,-5.4154055e-05,-0.00028718228,-0.00025158192,-0.00014358996,-0.00010671833,-0.00026902822
-0.00029693737,0,-0.00019646457,-0.00017884213,-0.00020996643,-0.00020303441,-5.1183177e-05,-0.00029386446,-0.0002546217,-0.00014772923,-0.00010462802,-0.00027516015
-0.00030042,0,-0.00019654033,-0.00018254725,-0.00021242902,-0.00020881997,-4.804186e-05,-0.0003005857,-0.00025760802,-0.00015193884,-0.00010236836,-0.00028132141
-0.00030383716,0,-0.00019648076,-0.00018625253,-0.00021484532,-0.00021470217,-4.4727193e-05,-0.00030734272,-0.00026053822,-0.00015621878,-9.9936159e-05,-0.00028750877
-0.00030718573,0,-0.00019628276,-0.00018995539,-0.00021721311,-0.00022068095,-4.1236305e-05,-0.00031413217,-0.00026340959,-0.00016056898,-9.732825e-05,-0.00029371889
-0.00031046251,0,-0.00019594321,-0.00019365318,-0.00021953015,-0.00022675619,-3.7566376e-05,-0.00032095058,-0.00026621941,-0.00016498936,-9.4541519e-05,-0.00029994834
-0.00031366433,0,-0.00019545904,-0.00019734321,-0.00022179418,-0.00023292773,-3.3714635e-05,-0.00032779438,-0.00026896495,-0.00016947982,-9.1572897e-05,-0.00030619361
-0.00031678797,0,-0.0001948272,-0.00020102273,-0.00022400292,-0.00023919538,-2.9678362e-05,-0.00033465993,-0.00027164344,-0.0001740402,-8.8419359e-05,-0.00031245109
-0.00031983018,0,-0.00019404469,-0.00020468891,-0.00022615409,-0.00024555887,-2.5454894e-05,-0.00034154347,-0.00027425211,-0.00017867032,-8.5077936e-05,-0.0003187171
-0.00032278771,0,-0.00019310852,-0.0002083389,-0.00022824538,-0.00025201792,-2.1041624e-05,-0.00034844115,-0.00027678817,-0.00018336997,-8.1545708e-05,-0.00032498783
-0.00032565728,0,-0.00019201576,-0.00021196977,-0.00023027447,-0.00025857219,-1.6436006e-05,-0.00035534903,-0.00027924881,-0.0001881389,-7.7819812e-05,-0.00033125943
-0.0003284356,0,-0.00019076349,-0.00021557853,-0.00023223904,-0.00026522129,-1.1635556e-05,-0.00036226308,-0.0002816312,-0.00019297683,-7.3897446e-05,-0.00033752793
-0.00033111936,0,-0.00018934884,-0.00021916216,-0.00023413674,-0.00027196478,-6.6378558e-06,-0.00036917914,-0.00028393251,-0.00019788344,-6.9775867e-05,-0.00034378928
-0.00033370523,0,-0.00018776901,-0.00022271756,-0.00023596523,-0.00027880218,-1.4405542e-06,-0.00037609301,-0.00028614987,-0.00020285838,-6.5452395e-05,-0.00035003936
-0.00033618987,0,-0.0001860212,-0.0002262416,-0.00023772214,-0.00028573295,3.9586285e-06,-0.00038300037,-0.00028828043,-0.00020790126,-6.0924419e-05,-0.00035627393
-0.00033856993,0,-0.00018410268,-0.00022973108,-0.00023940509,-0.00029275652,9.5618993e-06,-0.00038989679,-0.00029032132,-0.00021301165,-5.6189396e-05,-0.0003624887
-0.00034084204,0,-0.00018201078,-0.00023318275,-0.00024101172,-0.00029987224,1.537139e-05,-0.00039677779,-0.00029226964,-0.0002181891,-5.1244854e-05,-0.00036867927
-0.00034300282,0,-0.00017974286,-0.00023659333,-0.00024253962,-0.00030707943,2.1389152e-05,-0.00040363877,-0.0002941225,-0.0002234331,-4.6088398e-05,-0.00037484118
-0.0003450489,0,-0.00017729634,-0.00023995947,-0.00024398642,-0.00031437736,2.7617159e-05,-0.00041047504,-0.00029587699,-0.00022874313,-4.0717707e-05,-0.00038096988
-0.00034697688,0,-0.00017466869,-0.00024327778,-0.00024534971,-0.00032176523,3.4057299e-05,-0.00041728183,-0.00029753022,-0.0002341186,-3.5130543e-05,-0.00038706072
-0.00034878336,0,-0.00017185746,-0.00024654482,-0.00024662708,-0.00032924221,4.0711373e-05,-0.0004240543,-0.00029907926,-0.0002395589,-2.9324749e-05,-0.000393109
-0.00035046493,0,-0.00016886024,-0.0002497571,-0.00024781613,-0.00033680741,4.7581096e-05,-0.00043078749,-0.0003005212,-0.00024506339,-2.3298253e-05,-0.00039910992
-0.00035201819,0,-0.00016567469,-0.00025291111,-0.00024891445,-0.00034445987,5.4668088e-05,-0.00043747637,-0.00030185311,-0.00025063137,-1.7049073e-05,-0.00040505861
-0.00035343973,0,-0.00016229852,-0.00025600326,-0.00024991963,-0.00035219859,6.1973879e-05,-0.00044411583,-0.00030307207,-0.00025626211,-1.0575314e-05,-0.00041095013
-0.00035472614,0,-0.00015872954,-0.00025902994,-0.00025082926,-0.00036002251,6.9499898e-05,-0.00045070069,-0.00030417515,-0.00026195485,-3.875178e-06,-0.00041677945
-0.000355874,0,-0.00015496559,-0.00026198749,-0.00025164092,-0.00036793053,7.7247479e-05,-0.00045722565,-0.00030515944,-0.00026770879,3.0530389e-06,-0.0004225415
