theta,q3_over_t,dq3
2.7420767,-0.0030284144,0.99173024
2.7458716,-0.0030013628,0.99179251
2.7496664,-0.0029745586,0.99185431
2.7534612,-0.0029479994,0.99191565
2.757256,-0.0029216829,0.99197653
2.7610509,-0.0028956068,0.99203696
2.7648457,-0.0028697688,0.99209693
2.7686405,-0.0028441667,0.99215645
2.7724354,-0.0028187984,0.99221552
2.7762302,-0.0027936616,0.99227415
2.780025,-0.0027687541,0.99233234
2.7838198,-0.0027440738,0.9923901
2.7876147,-0.0027196185,0.99244742
2.7914095,-0.0026953862,0.99250431
2.7952043,-0.0026713747,0.99256077
2.7989992,-0.0026475821,0.99261681
2.802794,-0.0026240061,0.99267243
2.8065888,-0.0026006449,0.99272763
2.8103837,-0.0025774963,0.99278242
2.8141785,-0.0025545585,0.9928368
2.8179733,-0.0025318294,0.99289076
2.8217681,-0.0025093071,0.99294433
2.825563,-0.0024869897,0.99299749
2.8293578,-0.0024648751,0.99305025
2.8331526,-0.0024429617,0.99310261
2.8369475,-0.0024212474,0.99315459
2.8407423,-0.0023997303,0.99320617
2.8445371,-0.0023784088,0.99325736
2.8483319,-0.0023572809,0.99330817
2.8521268,-0.0023363448,0.9933586
2.8559216,-0.0023155988,0.99340865
2.8597164,-0.002295041,0.99345832
2.8635113,-0.0022746698,0.99350762
2.8673061,-0.0022544833,0.99355655
2.8711009,-0.0022344799,0.99360512
2.8748957,-0.0022146579,0.99365332
2.8786906,-0.0021950155,0.99370115
2.8824854,-0.0021755511,0.99374863
2.8862802,-0.0021562631,0.99379575
2.8900751,-0.0021371497,0.99384251
2.8938699,-0.0021182095,0.99388893
2.8976647,-0.0020994407,0.99393499
2.9014595,-0.0020808417,0.99398071
2.9052544,-0.0020624111,0.99402609
2.9090492,-0.0020441472,0.99407112
2.912844,-0.0020260485,0.99411582
2.9166389,-0.0020081135,0.99416018
2.9204337,-0.0019903406,0.9942042
2.9242285,-0.0019727283,0.9942479
2.9280234,-0.0019552751,0.99429127
2.9318182,-0.0019379797,0.99433431
2.935613,-0.0019208404,0.99437702
2.9394078,-0.0019038559,0.99441942
2.9432027,-0.0018870247,0.9944615
2.9469975,-0.0018703454,0.99450326
2.9507923,-0.0018538167,0.99454471
2.9545872,-0.001837437,0.99458584
2.958382,-0.0018212051,0.99462667
2.9621768,-0.0018051195,0.99466719
